artist,total_weeks,track_count,artistId,imageUrl,imageWidth,imageHeight
BOBBY DARIN,6,2,0EodhzA6yW1bIdD5B4tcmJ,https://i.scdn.co/image/0ca3415278b5ae71a13f475bc4d00b568e73af21,200,253
BOBBIE GENTRY,1,1,4E9w0bms6HcEppFlWjeW2d,https://i.scdn.co/image/782bf3b1c8d24e56eab25e47f74fe7e784f5b89a,200,300
BOMBALURINA,3,1,1KeTm9M66LvpIipAl6FwHZ,,,
BONEY M,9,2,54R6Y0I7jGUCveDTtI21nb,https://i.scdn.co/image/8e3525b09dc042057b46a19ac3641d347226a9a6,199,141
BONNIE TYLER,2,1,0SD4eZCN4Kr0wQk56hCdh2,https://i.scdn.co/image/bc99af7e55361c7a7a9452e29e8324a3da1ab828,200,113
BOOMTOWN RATS,6,2,40oYPr305MsT2lsiXr9fX9,https://i.scdn.co/image/ceef261cf9fad3089b791e60d73ef0b2375e3f4e,200,192
BORIS GARDINER,3,1,2fV23bDf2vC1f49t5j6wtW,https://i.scdn.co/image/59ab02843bca42f874f30cfdb9aad6badef3ae77,64,64
BOY GEORGE,2,1,2BWfZGPtsjRlRp7JTDqI45,https://i.scdn.co/image/675df7442dfdaf42940c8533daebfef4b5b88582,64,89
BOYZ II MEN,3,1,6O74knDqdv3XaWtkII7Xjp,https://i.scdn.co/image/db9713492df7fdf105b12cf2833d273797421c48,64,64
BOYZONE,9,6,6X9aYHnQ75YI8o08aoa0iS,https://i.scdn.co/image/025aa3b4d39e38e7c8597dd7ca7fdfb8076c3a9a,64,48
BRIAN & MICHAEL,3,1,7B5yCOGI4aKSGPxHHxRkXQ,,,
BRIAN McFADDEN,1,1,5ny07v4RRsvdv1uQVplMry,https://i.scdn.co/image/47ce0628b83776f24fb543a23c84a9dd114a6923,200,150
BRIAN POOLE & THE TREMELOES,3,1,7oovWTnMtmERd4nCPjg4Pk,https://i.scdn.co/image/4fce53f2acc79155ddc52ab74f25776258bb0a5d,64,63
BRIAN POTTER & ANDY PIPKIN,3,1,,,,
BRITNEY SPEARS,8,6,26dSoYclwsYLMAKD3tpOr4,https://i.scdn.co/image/18f8f2204dd44ecaaaf587ce4429493f01887d93,200,200
BROS,2,1,2LNuTYPmlmFYnti5EJQoKQ,https://i.scdn.co/image/5c8357266319b0565413f4850cbddeb1adbccf38,160,160
BROTHERHOOD OF MAN,8,3,4Cyr5aqgXza16isOrQNOvo,https://i.scdn.co/image/de7587c3084e2510f18f62061bc9ba2d1a6812ad,64,64
BRUNO MARS,13,5,0du5cEVh5yTK9QJze8zA0C,https://i.scdn.co/image/5461dcbb3f23e1df62d85c8273fc49cc4edd49d5,160,160
BRYAN ADAMS,17,2,3Z02hBLubJxuFJfhacLSDc,https://i.scdn.co/image/c1516afc5b10756be2217238eb696da76648d507,160,160
BUBBLER RANX,1,1,0vF9LL7FvGP06qASfMyddF,https://i.scdn.co/image/a2e5afa73323d8be08fc981f8e827f253a0a7d14,64,64
BUCKS FIZZ,6,3,5ZfzzHE7rxONfoksJsLXrX,https://i.scdn.co/image/537ea52b9e79429ee55222216e32c18b63687347,200,193
BUDDY HOLLY,3,1,3wYyutjgII8LJVVOLrGI0D,https://i.scdn.co/image/6291c6dce69ccc5bf017a2a348c8b7e507882e0c,200,253
BUGGLES,1,1,057gc1fxmJ2vkctjQJ7Tal,https://i.scdn.co/image/2be71ff47a1090954c8f79648881a15da472e172,199,136
BUSTA RHYMES,3,1,1YfEcTuGvBQ8xSD1f53UnK,https://i.scdn.co/image/7e2375b5ae64bcd0792e44303f1c67e3f98ebeae,200,146
BUSTED,5,4,3Z6IRCo7umuk8K2XQy0ZDj,https://i.scdn.co/image/ebb83117aa11d19dc77567eb2ab9991663d9b2de,160,160
BYRDS,2,1,1PCZpxHJz7WAMF8EEq8bfc,https://i.scdn.co/image/386b72509c3c8eb7d180b2d051e4c4045802c8fd,200,137
CALVIN HARRIS,17,8,7CajNmpbOovFoOoasH2HaY,https://i.scdn.co/image/a08640045b806dfc5f64e9f64e45f3da50d9cd54,160,160
CAMILA CABELLO,5,1,4nDoRrQiYLoBzwC5BhVJzF,https://i.scdn.co/image/aa9f03ea0bd3bda2683a6598361942561f7fd3aa,160,160
CAPTAIN SENSIBLE,2,1,7aqUNh5Jsbp7xZtvq97b5F,https://i.scdn.co/image/bd175276873ba2a8590328b84e8f1f2214cc6b0b,200,257
CARL DOUGLAS,3,1,5Pqx4mXYDGIDcg8E5FYjZ8,https://i.scdn.co/image/d2ee5ee550bb3fcaf7a4cb79f6fd54d199565898,64,64
CARLY RAE JEPSEN,4,1,6sFIWsNpZYqfjUpaCgueju,https://i.scdn.co/image/7ed5891b9522abd8331f1621926a7b10f520e594,160,160
CARON WHEELER,4,1,2RhMHmV21ZDcSGZ872U4ZY,https://i.scdn.co/image/6fa39e322e45a8f49c3b927f57bebc498687d262,200,150
CASCADA,2,1,0N0d3kjwdY2h7UVuTdJGfp,https://i.scdn.co/image/100bfa45f73b420aad4a467a2c8b64823e45f03b,160,160
CASSANDRA,1,1,0BUTvSwaoKcP9ucuEyyYpr,https://i.scdn.co/image/655110f45621d11f74eb904b91eef72c61beb63d,64,64
CEE LO GREEN,2,1,5nLYd9ST4Cnwy6NHaCxbj8,https://i.scdn.co/image/2178b4f6fc73d6c0ac0fadd99082279d135d9ad1,200,247
CELINE DION,9,2,4S9EykWXhStSc15wEx8QFK,https://i.scdn.co/image/cf778e4ef2363c44c02419c6a6fb1af1ce4e7eba,160,160
